Date,C_id,Customer_name,Customer_address,I_code,Product_name,CTN_price,CTN,PCS,Total_discount,Net_value,PCS_in_CTN,Price_per_PCS,Discount_per_piece,Month,Year,Has_discount,Purchase_price,Profit_per_order,Day,month_order,Week,week_order,Season,Season_encoded
2021-09-10,9295,BIG BITE FAST FOOD,WARSAK ROAD,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,10,1000,13500,10,1450,100,9,2021,1,12282,1218,10,142,2,18,Summer,3
2021-09-10,9295,BIG BITE FAST FOOD,WARSAK ROAD,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,5,375,9250,10,1925,75,9,2021,1,16362,1069,10,103,2,13,Summer,3
2021-09-10,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450,100,9,2021,1,12282,243,10,142,2,18,Summer,3
2021-09-10,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925,75,9,2021,1,16362,427,10,103,2,13,Summer,3
2021-09-10,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450,100,9,2021,1,12282,243,10,142,2,18,Summer,3
2021-09-10,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925,75,9,2021,1,16362,427,10,103,2,13,Summer,3
2021-09-11,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,4,300,7400,10,1925,75,9,2021,1,16362,855,11,103,2,13,Summer,3
2021-09-11,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,4,400,5400,10,1450,100,9,2021,1,12282,487,11,142,2,18,Summer,3
2021-09-11,6511,USMAN GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,62,2008,72,311,10,9,2021,1,19061,419,11,294,2,13,Summer,3
2021-09-11,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334,0,9,2021,0,20442,258,11,165,2,8,Summer,3
