No,Date,C/code,Customer_name,Customer_address,Item_code,Product_name,Orignal_price,CTN,PCS,Total_discount,Discount_price,PCS_in_CTN,Price_per_PCS,Discount_per_piece,Month,Price Range,Has_Discount
3,2021-09-10,9295,BIG BITE FAST FOOD,WARSAK ROAD,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,10,1000,13500,10,1450.0,100.0,9,Low,1
3,2021-09-10,9295,BIG BITE FAST FOOD,WARSAK ROAD,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,5,375,9250,10,1925.0,75.0,9,Low,1
4,2021-09-10,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
4,2021-09-10,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
5,2021-09-10,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
5,2021-09-10,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
6,2021-09-11,6544,CHATRAL,CAMPUS,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240,72,279.8611111111111,0.0,9,Low,0
6,2021-09-11,6544,CHATRAL,CAMPUS,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070,72,311.4583333333333,0.0,9,Low,0
6,2021-09-11,6544,CHATRAL,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740,72,334.02777777777777,0.0,9,Low,0
6,2021-09-11,6544,CHATRAL,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
7,2021-09-11,3467,IQRA SWEET & BAKERS,CAMPUS,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310,72,279.8611111111111,0.0,9,Low,0
7,2021-09-11,3467,IQRA SWEET & BAKERS,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
7,2021-09-11,3467,IQRA SWEET & BAKERS,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
8,2021-09-11,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
