INV,INVOICE,C/CODE,CUSTOMER  NAME,CUSTOMER ADDRESS,ITEM,ITEMS NAME,CTN RATE,QUANTITY,,T/O,NET VALUE
#,DATE,,NAME,,CODE,,,CTN,PCS,,
3,10-Sep-21,9295,BIG BITE FAST FOOD,WARSAK ROAD,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,0,1000,13500
3,10-Sep-21,9295,BIG BITE FAST FOOD,WARSAK ROAD,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,5,375,9250
4,10-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
4,10-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
5,10-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
5,10-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
6,11-Sep-21,6544,CHATRAL,CAMPUS,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240
6,11-Sep-21,6544,CHATRAL,CAMPUS,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070
6,11-Sep-21,6544,CHATRAL,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
6,11-Sep-21,6544,CHATRAL,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
7,11-Sep-21,3467,IQRA SWEET & BAKERS,CAMPUS,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
7,11-Sep-21,3467,IQRA SWEET & BAKERS,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
7,11-Sep-21,3467,IQRA SWEET & BAKERS,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
8,11-Sep-21,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
8,11-Sep-21,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
8,11-Sep-21,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
9,11-Sep-21,6511,USMAN GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,62,2008
10,11-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,4,400,5400
10,11-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,4,300,7400
11,13-Sep-21,9373,BANGASH G/S,DEFENCE,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
11,13-Sep-21,9373,BANGASH G/S,DEFENCE,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
11,13-Sep-21,9373,BANGASH G/S,DEFENCE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
12,13-Sep-21,9927,RIYAN GENERAL STORE,DEFENCE,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
12,13-Sep-21,9927,RIYAN GENERAL STORE,DEFENCE,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
12,13-Sep-21,9927,RIYAN GENERAL STORE,DEFENCE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
13,13-Sep-21,2056,PESHAWRI G/S,Warsak Road,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
13,13-Sep-21,2056,PESHAWRI G/S,Warsak Road,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
14,13-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
14,13-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
15,13-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
15,13-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1759,DEEN'S CHEDDAR 400GM,20700,0,3,0,1725
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1761,DEEN'S MOZARELLA 400GM,23400,0,3,0,1950
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
16,13-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,60,1740
17,14-Sep-21,9556,EASY MART,ZANGAL MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
